size_code,candidates,iterations,time_seconds,throughput_per_second,threads,cores,block_size,grid_size
1,100000,1,0.155362748,643654.9384412279,100032,1,64,1563
1,100000,1,0.000530358,188551883.82187128,100096,1,128,782
1,100000,1,0.001028164,97260748.285293,100096,1,256,391
1,100000,1,0.001076015,92935507.40463655,100352,1,512,196
2,200000,1,0.000610823,327427094.2646233,200000,1,64,3125
2,200000,1,0.000631703,316604480.27000034,200064,1,128,1563
2,200000,1,0.000641221,311904943.8493125,200192,1,256,782
2,200000,1,0.00118266,169110310.65564066,200192,1,512,391
4,400000,1,0.000717828,557236552.4888971,400000,1,64,6250
4,400000,1,0.000717377,557586875.520124,400000,1,128,3125
4,400000,1,0.000775459,515823531.61160034,400128,1,256,1563
4,400000,1,0.000840373,475979118.7960584,400384,1,512,782
8,800000,1,0.001406881,568633736.6131179,800000,1,64,12500
8,800000,1,0.000965824,828308263.2032337,800000,1,128,6250
8,800000,1,0.001107326,722461136.1062596,800000,1,256,3125
8,800000,1,0.001177941,679151162.9190257,800256,1,512,1563
16,1600000,1,0.001509098,1060235982.0236989,1600000,1,64,25000
16,1600000,1,0.001487415,1075691720.1991374,1600000,1,128,12500
16,1600000,1,0.001662492,962410646.1865681,1600000,1,256,6250
16,1600000,1,0.001868697,856211574.1610332,1600000,1,512,3125
32,3200000,1,0.002450144,1306045685.4780781,3200000,1,64,50000
32,3200000,1,0.002476445,1292174871.6405978,3200000,1,128,25000
32,3200000,1,0.003201146,999642003.2076012,3200000,1,256,12500
32,3200000,1,0.00322941,990893073.3477633,3200000,1,512,6250
64,6400000,1,0.004398704,1454974010.526737,4194240,1,64,65535
64,6400000,1,0.004430966,1444380299.916542,6400000,1,128,50000
64,6400000,1,0.005256521,1217535324.2191937,6400000,1,256,25000
64,6400000,1,0.006150337,1040593385.3705903,6400000,1,512,12500
128,12800000,1,0.008542029,1498473020.871271,4194240,1,64,65535
128,12800000,1,0.008611933,1486309751.829235,8388480,1,128,65535
128,12800000,1,0.010399094,1230876459.0453746,12800000,1,256,50000
128,12800000,1,0.012240519,1045707293.9472582,12800000,1,512,25000
256,25600000,1,0.016210552,1579218277.0827298,4194240,1,64,65535
256,25600000,1,0.016482724,1553141337.5604663,8388480,1,128,65535
256,25600000,1,0.018781948,1363010908.1337037,16776960,1,256,65535
256,25600000,1,0.023154282,1105627028.296537,25600000,1,512,50000
512,51200000,1,0.032170292,1591530471.6537852,4194240,1,64,65535
512,51200000,1,0.032055481,1597230751.2715223,8388480,1,128,65535
512,51200000,1,0.033450539,1530618086.602431,16776960,1,256,65535
512,51200000,1,0.049359954,1037278114.1570756,33553920,1,512,65535
1024,102400000,1,0.073626992,1390794289.1378748,4194240,1,64,65535
1024,102400000,1,0.0749333,1366548650.5999336,8388480,1,128,65535
1024,102400000,1,0.079418183,1289377270.1901276,16776960,1,256,65535
1024,102400000,1,0.094863295,1079448062.6041927,33553920,1,512,65535
2048,204800000,1,0.15775047,1298252867.3290164,4194240,1,64,65535
2048,204800000,1,0.140197182,1460799689.9680908,8388480,1,128,65535
2048,204800000,1,0.167955555,1219370207.7909837,16776960,1,256,65535
2048,204800000,1,0.176613127,1159596704.2698927,33553920,1,512,65535
4096,409600000,1,0.327762771,1249684333.4290702,4194240,1,64,65535
4096,409600000,1,0.324060094,1263963096.9186845,8388480,1,128,65535
4096,409600000,1,0.34073317,1202113665.6580868,16776960,1,256,65535
4096,409600000,1,0.341535374,1199290120.970017,33553920,1,512,65535
