size_code,candidates,iterations,time_seconds,throughput_per_second,threads,cores,block_size,grid_size
1,100000,1,0.100462051,995400.74092256,1,1,,
1,100000,1,0.053037499,1885458.4376235388,2,2,,
1,100000,1,0.028147953,3552656.2091389024,4,4,,
1,100000,1,0.014574294,6861395.824730858,8,8,,
2,200000,1,0.202462315,987838.1564490162,1,1,,
2,200000,1,0.102528425,1950678.5557273505,2,2,,
2,200000,1,0.056443909,3543340.699525258,4,4,,
2,200000,1,0.028535675,7008770.600309963,8,8,,
4,400000,1,0.402442536,993930.7210806364,1,1,,
4,400000,1,0.202778451,1972596.1907066742,2,2,,
4,400000,1,0.105570538,3788935.8866391303,4,4,,
4,400000,1,0.053055391,7539290.399348862,8,8,,
8,800000,1,0.788431979,1014672.1864512297,1,1,,
8,800000,1,0.398114562,2009471.836400699,2,2,,
8,800000,1,0.204874246,3904834.383136668,4,4,,
8,800000,1,0.102730186,7787389.774608215,8,8,,
16,1600000,1,1.563787546,1023156.8886020532,1,1,,
16,1600000,1,0.795627309,2010991.8072206343,2,2,,
16,1600000,1,0.431445829,3708460.9294021013,4,4,,
16,1600000,1,0.200946722,7962309.531976341,8,8,,
32,3200000,1,3.004832676,1064951.1453861732,1,1,,
32,3200000,1,1.577252746,2028844.1456928044,2,2,,
32,3200000,1,0.872719214,3666700.524826534,4,4,,
32,3200000,1,0.408646901,7830721.319969094,8,8,,
64,6400000,1,6.161330562,1038736.6715027422,1,1,,
64,6400000,1,3.031391706,2111241.5090839467,2,2,,
64,6400000,1,1.8338196,3489983.4203975135,4,4,,
64,6400000,1,0.805342821,7946926.244469496,8,8,,
128,12800000,1,11.375790481,1125196.5321775866,1,1,,
128,12800000,1,5.890512694,2172985.7255104324,2,2,,
128,12800000,1,3.09634773,4133902.622106335,4,4,,
128,12800000,1,1.622738664,7887899.810341857,8,8,,
256,25600000,1,22.811788918,1122226.7614356154,1,1,,
256,25600000,1,11.425608646,2240580.8559671193,2,2,,
256,25600000,1,5.88909231,4347019.651318728,4,4,,
256,25600000,1,3.335339603,7675380.335176022,8,8,,
512,51200000,1,44.571639044,1148712.524335411,1,1,,
512,51200000,1,22.639293639,2261554.658746038,2,2,,
512,51200000,1,11.509480442,4448506.625300194,4,4,,
512,51200000,1,6.11596576,8371531.497913422,8,8,,
1024,102400000,1,89.067724645,1149686.9422469123,1,1,,
1024,102400000,1,44.351392058,2308833.956464943,2,2,,
1024,102400000,1,22.759563839,4499207.485889115,4,4,,
1024,102400000,1,11.912295998,8596159.801367622,8,8,,
2048,204800000,1,175.045247099,1169983.209450821,1,1,,
2048,204800000,1,90.214338869,2270149.0978877484,2,2,,
2048,204800000,1,45.788434976,4472745.13984472,4,4,,
2048,204800000,1,23.972357054,8543173.269890342,8,8,,
4096,409600000,1,357.995264038,1144149.2140983248,1,1,,
4096,409600000,1,179.426186679,2282832.888450053,2,2,,
4096,409600000,1,90.414973785,4530223.068736358,4,4,,
4096,409600000,1,47.752393525,8577580.509876652,8,8,,
