size_code,candidates,iterations,time_seconds,throughput_per_second,threads,cores
1,100000,1,0.354696917,281930.84069010953,1,1
1,100000,1,0.365923596,273281.09226386156,2,1
1,100000,1,0.35988197,277868.880177576,4,1
1,100000,1,0.353794859,282649.66959285294,8,1
1,100000,1,0.360408254,277463.12380515016,16,1
1,100000,1,0.354051247,282444.9874060181,1,2
1,100000,1,0.302571079,330500.8539828091,2,2
1,100000,1,0.302263823,330836.81337544654,4,2
1,100000,1,0.301304536,331890.1246146523,8,2
1,100000,1,0.301598359,331566.7907861528,16,2
1,100000,1,0.355548713,281255.4126725246,1,4
1,100000,1,0.181645731,550522.1589820902,2,4
1,100000,1,0.156217071,640134.9056147647,4,4
1,100000,1,0.157267457,635859.4581967457,8,4
1,100000,1,0.177483274,563433.3745725246,16,4
1,100000,1,0.353976765,282504.41805128084,1,8
1,100000,1,0.182281324,548602.5545875451,2,8
1,100000,1,0.093856378,1065457.6932427543,4,8
1,100000,1,0.082444402,1212938.6298417205,8,8
1,100000,1,0.085546795,1168950.864845375,16,8
1,100000,1,0.324054982,308589.6084140438,1,16
1,100000,1,0.169656075,589427.7584813866,2,16
1,100000,1,0.086612897,1154562.4666035592,4,16
1,100000,1,0.048327527,2069214.0940710662,8,16
1,100000,1,0.048938779,2043369.3288506442,16,16
2,200000,1,0.706769164,282977.8238598989,1,1
2,200000,1,0.702503588,284696.0548192958,2,1
2,200000,1,0.705517956,283479.67376183975,4,1
2,200000,1,0.714732367,279825.021552438,8,1
2,200000,1,0.727282582,274996.2737317419,16,1
2,200000,1,0.764250279,261694.376169145,1,2
2,200000,1,0.66077547,302674.6740462384,2,2
2,200000,1,0.629587734,317668.1965026974,4,2
2,200000,1,0.624603664,320203.05279541237,8,2
2,200000,1,0.63393138,315491.5599855618,16,2
2,200000,1,0.757077783,264173.64832379454,1,4
2,200000,1,0.43990544,454643.1614939793,2,4
2,200000,1,0.329536874,606912.3542150249,4,4
2,200000,1,0.355678177,562306.0759221109,8,4
2,200000,1,0.347511428,575520.6415830445,16,4
2,200000,1,0.840810686,237865.67336752426,1,8
2,200000,1,0.446902839,447524.5680862636,2,8
2,200000,1,0.231882152,862507.0893770211,4,8
2,200000,1,0.174226261,1147932.5725758416,8,8
2,200000,1,0.186273163,1073691.973545325,16,8
2,200000,1,0.687333808,290979.4304778327,1,16
2,200000,1,0.338825455,590274.4231539511,2,16
2,200000,1,0.173837207,1150501.6874782164,4,16
2,200000,1,0.094698898,2111956.9944731565,8,16
2,200000,1,0.091701207,2180996.374453392,16,16
4,400000,1,2.036186987,196445.61258557934,1,1
4,400000,1,1.607420903,248845.83698859613,2,1
4,400000,1,1.47097603,271928.2924005226,4,1
4,400000,1,1.493069188,267904.5306238012,8,1
4,400000,1,1.479774341,270311.4852834173,16,1
4,400000,1,1.48364231,269606.76256260177,1,2
4,400000,1,1.267566224,315565.3664687739,2,2
4,400000,1,1.299643824,307776.6328076669,4,2
4,400000,1,1.298989139,307931.75092128315,8,2
4,400000,1,1.264159311,316415.8160442486,16,2
4,400000,1,1.498273785,266973.9029038675,1,4
4,400000,1,0.770408666,519204.95920278237,2,4
4,400000,1,0.652737871,612803.42044073,4,4
4,400000,1,0.655926197,609824.7056291914,8,4
4,400000,1,0.654559232,611098.2481719851,16,4
4,400000,1,1.477766563,270678.74589607964,1,8
4,400000,1,0.784781376,509696.0914628025,2,8
4,400000,1,0.396746711,1008199.9142268882,4,8
4,400000,1,0.350939651,1139797.1100165024,8,8
4,400000,1,0.359176608,1113658.2703069572,16,8
4,400000,1,1.341551329,298162.27776999207,1,16
4,400000,1,0.689529171,580105.9865529605,2,16
4,400000,1,0.372254371,1074534.0583254024,4,16
4,400000,1,0.19934534,2006568.0993596339,8,16
4,400000,1,0.204692948,1954146.4613622155,16,16
8,800000,1,2.938651082,272233.748640731,1,1
8,800000,1,2.955929954,270642.4077869066,2,1
8,800000,1,2.966813868,269649.5417622202,4,1
8,800000,1,2.94304597,271827.2185194579,8,1
8,800000,1,2.971799827,269197.13526182936,16,1
8,800000,1,2.891904237,276634.33310291875,1,2
8,800000,1,2.507204931,319080.4190389493,2,2
8,800000,1,2.507263704,319072.9394453835,4,2
8,800000,1,2.502398545,319693.2805121975,8,2
8,800000,1,2.488767569,321444.2400989033,16,2
8,800000,1,2.845352582,281160.2347845691,1,4
8,800000,1,1.510248481,529714.1563554402,2,4
8,800000,1,1.28467874,622723.7791761075,4,4
8,800000,1,1.285454003,622348.2117080467,8,4
8,800000,1,1.308441126,611414.5941328353,16,4
8,800000,1,2.882466809,277540.0561429327,1,8
8,800000,1,1.545167082,517743.3620735133,2,8
8,800000,1,0.826203214,968284.7832639876,4,8
8,800000,1,0.688674668,1161651.556493726,8,8
8,800000,1,0.699534086,1143618.3254120944,16,8
8,800000,1,2.636759406,303402.7291908331,1,16
8,800000,1,1.368525833,584570.6238853292,2,16
8,800000,1,0.708532071,1129094.9735992965,4,16
8,800000,1,0.382683174,2090502.1551849048,8,16
8,800000,1,0.370321547,2160284.775435981,16,16
16,1600000,1,5.790711675,276304.5528423758,1,1
16,1600000,1,5.74393349,278554.7574298253,2,1
16,1600000,1,5.727145346,279371.2929107841,4,1
16,1600000,1,5.695910594,280903.2855405806,8,1
16,1600000,1,5.7206446,279688.76094837283,16,1
16,1600000,1,5.732188308,279125.5126365957,1,2
16,1600000,1,4.969719192,321949.7798941232,2,2
16,1600000,1,4.947252382,323411.84084754053,4,2
16,1600000,1,4.964198958,322307.7909521611,8,2
16,1600000,1,4.953621357,322996.0234524239,16,2
16,1600000,1,5.714875907,279971.08354359935,1,4
16,1600000,1,2.972270495,538309.0141666261,2,4
16,1600000,1,2.570216845,622515.568331356,4,4
16,1600000,1,2.598591599,615718.1454045022,8,4
16,1600000,1,2.588996908,617999.9655681319,16,4
16,1600000,1,5.737612812,278861.6193573851,1,8
16,1600000,1,3.076844246,520013.32276733,2,8
16,1600000,1,1.577688177,1014142.0993864747,4,8
16,1600000,1,1.389801538,1151243.50941681,8,8
16,1600000,1,1.464573807,1092467.987856074,16,8
16,1600000,1,5.36540452,298206.7790109514,1,16
16,1600000,1,2.925259339,546960.0519408854,2,16
16,1600000,1,1.654853262,966853.0961266583,4,16
16,1600000,1,0.9577164,1670640.7032394975,8,16
16,1600000,1,0.853017785,1875693.5999874843,16,16
32,3200000,1,11.711675985,273231.60272692604,1,1
32,3200000,1,11.532249778,277482.7168680147,2,1
32,3200000,1,11.469199959,279008.1271090689,4,1
32,3200000,1,11.378462579,281233.0732541929,8,1
32,3200000,1,11.519581084,277787.8793218102,16,1
32,3200000,1,11.366232331,281535.68454450765,1,2
32,3200000,1,9.938681535,321974.29696594056,2,2
32,3200000,1,9.920541672,322563.03191909014,4,2
32,3200000,1,9.923315412,322472.8699170769,8,2
32,3200000,1,9.926944454,322354.98192100594,16,2
32,3200000,1,11.385904225,281049.2637882697,1,4
32,3200000,1,5.994613991,533812.5198393613,2,4
32,3200000,1,5.192110217,616319.7363419915,4,4
32,3200000,1,5.229949195,611860.6282178235,8,4
32,3200000,1,5.229454844,611918.468647169,16,4
32,3200000,1,11.460258132,279225.82224084233,1,8
32,3200000,1,6.122796796,522636.9756531113,2,8
32,3200000,1,3.210382238,996766.0430346549,4,8
32,3200000,1,2.808763121,1139291.5180617683,8,8
32,3200000,1,2.87221191,1114123.9227017898,16,8
32,3200000,1,11.930787495,268213.6448529544,1,16
32,3200000,1,6.236629852,513097.6306015347,2,16
32,3200000,1,3.28589567,973859.2826351058,4,16
32,3200000,1,1.857389506,1722848.1100291086,8,16
32,3200000,1,1.842733173,1736550.927115697,16,16
64,6400000,1,22.795106561,280762.01279750624,1,1
64,6400000,1,22.819674652,280459.7391330065,2,1
64,6400000,1,22.812114518,280552.6859401855,4,1
64,6400000,1,22.834875954,280273.0355484549,8,1
64,6400000,1,22.613383978,283018.23407882696,16,1
64,6400000,1,22.598814148,283200.7006246565,1,2
64,6400000,1,20.090019747,318566.13784342835,2,2
64,6400000,1,19.927786114,321159.60917022114,4,2
64,6400000,1,19.883785064,321870.30685557605,8,2
64,6400000,1,19.878924483,321949.00712426036,16,2
64,6400000,1,22.480691337,284688.7537424846,1,4
64,6400000,1,12.052609535,531005.3380070775,2,4
64,6400000,1,10.448773868,612512.0593910436,4,4
64,6400000,1,10.501825693,609417.8466764997,8,4
64,6400000,1,10.529829569,607797.1118204715,16,4
64,6400000,1,22.828679459,280349.1113664421,1,8
64,6400000,1,12.352323947,518121.12663660856,2,8
64,6400000,1,6.487105476,986572.5204681411,4,8
64,6400000,1,5.67557837,1127638.3802273176,8,8
64,6400000,1,5.867143694,1090820.3946913593,16,8
64,6400000,1,23.847049022,268377.0219994812,1,16
64,6400000,1,12.413568622,515564.8786326901,2,16
64,6400000,1,6.392228554,1001215.7647265502,4,16
64,6400000,1,3.854233805,1660511.6149667522,8,16
64,6400000,1,3.441204617,1859813.8478552436,16,16
128,12800000,1,46.448188744,275575.86950370495,1,1
128,12800000,1,46.011606485,278190.6779145575,2,1
128,12800000,1,45.612712554,280623.5210161275,4,1
128,12800000,1,45.357572786,282202.04948777216,8,1
128,12800000,1,45.725336424,279932.33076097444,16,1
128,12800000,1,45.660824624,280327.83256551466,1,2
128,12800000,1,40.032053683,319743.7758591847,2,2
128,12800000,1,39.978860514,320169.20531083253,4,2
128,12800000,1,39.969101015,320247.38297707244,8,2
128,12800000,1,39.980377112,320157.06015334494,16,2
128,12800000,1,46.148716051,277364.16297810816,1,4
128,12800000,1,24.146158921,530105.0176087342,2,4
128,12800000,1,21.161168986,604881.5171065616,4,4
128,12800000,1,21.269510018,601800.4170837783,8,4
128,12800000,1,21.260228754,602063.1362017564,16,4
128,12800000,1,46.36692062,276058.876216999,1,8
128,12800000,1,24.545880885,521472.4238241573,2,8
128,12800000,1,13.041567286,981477.1276563271,4,8
128,12800000,1,11.61550096,1101975.7171110422,8,8
128,12800000,1,11.806050029,1084189.8830310302,16,8
128,12800000,1,47.244886077,270928.7938410622,1,16
128,12800000,1,24.488967188,522684.35421287233,2,16
128,12800000,1,13.105526598,976687.1940844692,4,16
128,12800000,1,7.232113943,1769883.6192133264,8,16
128,12800000,1,6.638967264,1928010.711757593,16,16
256,25600000,1,93.095688569,274985.8816611682,1,1
256,25600000,1,91.146445386,280866.6853829073,2,1
256,25600000,1,93.335332993,274279.8378607591,4,1
256,25600000,1,92.005196373,278245.1536347421,8,1
256,25600000,1,92.088920795,277992.1816761041,16,1
256,25600000,1,91.744740604,279035.06872942054,1,2
256,25600000,1,80.311052293,318760.6097676711,2,2
256,25600000,1,80.170038076,319321.2902771929,4,2
256,25600000,1,80.102207422,319591.6919633975,8,2
256,25600000,1,80.087220518,319651.4978846878,16,2
256,25600000,1,91.588247972,279511.84313326236,1,4
256,25600000,1,49.424335046,517963.46832332044,2,4
256,25600000,1,42.449542918,603068.9199516624,4,4
256,25600000,1,42.524777751,602001.9704723323,8,4
256,25600000,1,42.582122942,601191.2565953814,16,4
256,25600000,1,91.309181555,280366.10956347105,1,8
256,25600000,1,50.134105117,510630.4369102877,2,8
256,25600000,1,26.612889532,961939.8889105192,4,8
256,25600000,1,23.533323404,1087819.1558634138,8,8
256,25600000,1,24.265933333,1054976.9361306932,16,8
256,25600000,1,91.490304438,279811.07022491423,1,16
256,25600000,1,49.986940735,512133.76181021857,2,16
256,25600000,1,26.230583112,975960.0040415601,4,16
