size_code,candidates,iterations,time_seconds,throughput_per_second,threads,cores
1,100000,1,0.366534752,272825.42638685455,1,1
2,200000,1,0.730596756,273748.8202041784,1,1
4,400000,1,1.451196417,275634.63864313,1,1
8,800000,1,2.881571363,277626.30149375205,1,1
16,1600000,1,5.790308275,276323.80246628576,1,1
32,3200000,1,11.599369344,275877.0675455095,1,1
64,6400000,1,23.058389128,277556.2492450275,1,1
128,12800000,1,46.043662426,277996.99949090235,1,1
256,25600000,1,95.048356382,269336.58796911145,1,1
512,51200000,1,188.298378257,271908.8739581146,1,1
1024,102400000,1,383.908794655,266730.01875880925,1,1
2048,204800000,1,756.747907152,270631.73622872535,1,1
4096,409600000,1,1500.761091404,272928.1844699271,1,1
